preferred_study_level,phd_supervisor,supervisor_approval,intended_study_area,preferred_dest_1,preferred_dest_2,preferred_dest_3,study_plan,uni_contacted,application_process,current_status,work_experience,birth_year,passport,academic_backlogs,number_of_backlogs,budget,funding_source,parents_occupation,english_test_taken,english_test_name,english_test_score,family_abroad,other_consultants,lead_converted_flag
Undergraduate,No,No,Media & Communications,UK,Ireland,Other,01-2021,No,No,Working professional,1-3,1999,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,UK,Ireland,New Zealand,01-2021,No,No,Working professional,<1,1998,No,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,Edwise consultants,0
Postgraduate,No,No,Sciences,Australia,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Nursing,Australia,Canada,USA,01-2021,Yes,No,Student,0,2002,Yes,No,0,Not provided,Self funding,Own business,Yes,IELTS,7.0,Yes,No,0
Undergraduate,No,No,Finance,Canada,Other,Other,01-2022,Yes,No,Student,0,2001,Yes,No,0,<10,Self funding,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,international relation,New Zealand,Australia,UK,01-2021,No,No,Working professional,7+,1988,Yes,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Other,Canada,01-2021,No,No,Working professional,1-3,1998,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Data Science,Australia,UK,Canada,01-2022,No,No,Student,0,1993,No,Yes,<5,Not provided,Other,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,UK,USA,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,<10,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,UK,Other,01-2021,No,No,Working professional,1-3,1995,Yes,Yes,<5,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Sciences,Australia,Other,Other,01-2021,No,No,Student,0,2003,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Psychology,Australia,Australia,Australia,01-2022,Yes,No,Student,0,2001,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,university connection,0
Postgraduate,No,No,Robotics,Canada,UK,USA,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,Yes,IELTS,7.5,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,Yes,No,Working professional,1-3,1995,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Engineering,UK,Canada,Canada,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Parents asset,In-Service,Yes,IELTS,7.0,Yes,No,0
Postgraduate,No,No,Finance,Canada,Other,Other,01-2021,No,No,Working professional,4-6,1992,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,Yes,No,Student,0,1995,Yes,Yes,<5,>30,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,1
Undergraduate,No,No,Hospitality,Canada,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Management,UK,Other,Other,01-2022,No,No,Student,0,2004,No,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Dental Science,UK,Other,Other,01-2021,No,No,Student,0,1994,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Chemistry,USA,Canada,Other,01-2021,No,No,Student,0,2002,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Cloud Computing,Canada,Other,Other,01-2021,No,No,Student,0,1999,Yes,Yes,6,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Sports Management,UK,Ireland,Other,01-2021,No,No,Working professional,4-6,1991,Yes,No,0,10-20,Self funding,In-Service,Yes,IELTS,6.5,Yes,No,1
Postgraduate,No,No,Business & Economics,UK,UK,UK,01-2021,No,No,Student,0,1997,No,Yes,<5,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,USA,Other,Other,01-2021,Yes,No,Student,0,2002,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Life Science,Australia,Canada,Canada,01-2021,No,No,Working professional,7+,1983,Yes,No,0,Not provided,Self funding,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Pharmacy,USA,Canada,Other,01-2021,No,No,Student,0,2001,No,No,0,Not provided,Other,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Digital Marketing,UK,Australia,Other,01-2021,No,No,Working professional,<1,1998,No,No,0,Not provided,Self funding,In-Service,No,Not Taken,0.0,No,No,0
Doctorate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Hospitality,Canada,Other,Other,01-2021,No,No,Student,0,1997,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Data Science ,Canada,Other,Other,01-2021,Yes,No,Working professional,1-3,1997,Yes,No,0,>30,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Arts,UK,USA,Other,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Psychology,UK,Other,Other,01-2021,No,No,Student,0,2004,No,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Nursing,USA,Canada,UK,01-2021,No,No,Student,0,1999,No,Yes,<5,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,USA,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,No,No,Student,0,1998,Yes,Yes,6,>30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Finance ,Australia,Other,Other,01-2021,No,No,Student,0,1996,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,HR,Australia,Australia,Australia,01-2024,No,No,Working professional,4-6,1999,Yes,No,0,20-30,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Data Science ,Australia,Ireland,New Zealand,01-2021,No,No,Working professional,7+,1991,Yes,Yes,<5,Not provided,Parents asset,Not provided,Yes,GRE,299.0,Yes,No,0
Postgraduate,No,No,Business & Economics,UK,Australia,Canada,01-2021,No,No,Working professional,1-3,1997,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Management,Australia,Other,Other,01-2021,No,No,Working professional,<1,1998,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Information Security,Canada,Other,Other,01-2021,Yes,No,Student,0,2002,Yes,No,0,10-20,Bank loan,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,In-Service,Yes,IELTS,8.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,No,No,Student,0,1998,Yes,Yes,>10,>30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Nursing,UK,Canada,Other,01-2021,No,No,Student,0,2003,No,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,Management,Australia,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,commerce,UK,Other,Other,01-2021,No,No,Student,0,1998,No,Yes,<5,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Ireland,UK,Canada,01-2022,No,No,Working professional,1-3,1996,Yes,No,0,10-20,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7.0,Yes,No,0
Postgraduate,No,No,Sciences,Ireland,UK,Canada,01-2022,No,No,Student,0,1996,No,No,0,10-20,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Architecture & Built Environment Studies,Canada,New Zealand,Australia,01-2021,No,No,Student,0,1998,Yes,Yes,6,10-20,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,Canada,Australia,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Education,Australia,Other,Other,01-2021,No,No,Student,0,1994,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,UK,Other,01-2021,No,No,Student,0,1999,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,management,Canada,UK,Other,01-2021,No,No,Student,0,1998,Yes,Yes,<5,Not provided,Bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2022,No,No,Student,0,1994,Yes,No,0,Not provided,Self funding,Not provided,Yes,IELTS,6.5,Yes,No,0
Undergraduate,No,No,Hotel Management,Canada,Other,Other,01-2021,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Marketing,New Zealand,Canada,Other,01-2021,Yes,No,Working professional,4-6,1992,Yes,Yes,<5,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Finance,Ireland,Other,Other,01-2021,Yes,No,Student,0,2000,Yes,No,0,10-20,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,1
Vocational,No,No,Engineering,Canada,Other,Other,01-2021,No,No,Working professional,7+,1987,Yes,No,0,20-30,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Event Management & PR,Australia,Canada,Other,01-2021,Yes,No,Working professional,1-3,1998,Yes,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,International Business,Canada,Other,Other,06-2005,No,No,Working professional,4-6,1994,Yes,Yes,<5,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Law/legal studies,Canada,UK,Australia,01-2022,No,No,Student,0,2003,Yes,No,0,10-20,Parents asset,In-Service,Yes,IELTS,7.5,Yes,No,0
Undergraduate,No,No,Law/legal studies,USA,UK,Other,01-2021,No,No,Student,0,2003,No,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Human Resource,UK,Other,Other,01-2021,No,No,Working professional,7+,1991,Yes,No,0,Not provided,Bank loan,Not provided,Yes,IELTS,6.0,No,No,0
Undergraduate,No,No,Business & Economics,UK,Other,Other,01-2021,No,No,Student,0,2002,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Australia,Other,Other,01-2021,Yes,No,Student,0,1999,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Australia,Other,Other,01-2021,Yes,No,Student,0,1998,Yes,Yes,6,Not provided,Parents asset,Own business,Yes,Other,79.0,No,No,0
Postgraduate,No,No,MBA,Ireland,UK,Other,01-2021,Yes,No,Student,0,1999,Yes,Yes,<5,20-30,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,1
Vocational,No,No,Management,Canada,Australia,Other,01-2021,Yes,No,Working professional,1-3,1995,Yes,Yes,<5,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,1
Undergraduate,No,No,Business & Economics,Canada,Other,Other,01-2021,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Vocational,No,No,International Business,Canada,Other,Other,06-2005,No,No,Working professional,4-6,1991,Yes,Yes,<5,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Business & Economics,Ireland,Canada,Other,01-2021,No,No,Working professional,1-3,1996,Yes,Yes,<5,10-20,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Sciences,USA,USA,USA,01-2021,No,No,Working professional,1-3,1994,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,1
Undergraduate,No,No,Engineering,USA,Other,Other,01-2021,No,No,Student,0,2003,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,UK,UK,UK,01-2022,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,Only touch with school counsellor,0
Postgraduate,No,No,Accounts,UK,Canada,New Zealand,01-2021,No,No,Working professional,4-6,1992,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,Yes,IELTS,5.5,No,No,0
Postgraduate,No,No,Data Science,UK,Other,Other,01-2022,Yes,No,Student,0,1996,Yes,No,0,10-20,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Digital Marketing,UK,UK,UK,01-2021,No,No,Student,0,2000,Yes,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,Not Provided,0
Vocational,No,No,Physical Education,UK,Australia,Other,01-2021,No,No,Student,0,1984,No,No,0,Not provided,Other,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Physics,UK,Other,Other,01-2021,No,No,Working professional,<1,1997,Yes,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,USA,Canada,Other,01-2021,No,No,Student,0,2001,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Nursing,Canada,UK,Australia,01-2021,No,No,Student,0,2002,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,Yes,No,Working professional,1-3,1993,Yes,Yes,<5,10-20,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,Canada,Australia,Other,01-2021,No,No,Student,0,2000,No,Yes,<5,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Business & Economics,Canada,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Physiotherapy,Canada,Other,Other,01-2021,No,No,Student,0,1997,No,No,0,<10,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Canada,USA,USA,01-2021,No,No,Student,0,2001,Yes,Yes,<5,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Marketing,Canada,Other,Other,01-2021,No,No,Student,0,1989,Yes,No,0,>30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Aviation ,UK,Other,Other,01-2021,No,No,Student,0,2001,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,USA,Other,Other,01-2021,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,UK,USA,Other,01-2021,No,No,Working professional,1-3,1998,Yes,No,0,20-30,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MCA,Australia,Other,Other,01-2021,No,No,Working professional,1-3,1988,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business Management,USA,Other,Other,01-2021,No,No,Student,0,1995,Yes,No,0,>30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,English,UK,Other,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Business & Economics,Canada,UK,USA,01-2021,No,No,Student,0,2002,Yes,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Doctorate,No,No,Sciences,USA,Other,Other,01-2021,No,No,Student,0,1994,No,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Design,USA,UK,Ireland,01-2021,No,No,Student,0,1996,Yes,Yes,6,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Health,New Zealand,Australia,Australia,01-2021,No,No,Student,0,1999,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,No,Not Provided,0
Postgraduate,No,No,Public Health,UK,USA,Australia,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Other,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,MBA,UK,Canada,Other,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Education,UK,Other,Other,01-2021,No,No,Student,0,1996,No,No,0,<10,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Sciences,Australia,Canada,Canada,01-2021,No,No,Student,0,1997,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,1
Undergraduate,No,No,Pharmacy,Australia,Australia,Australia,01-2021,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,Not Provided,0
Postgraduate,No,No,Psychology,Australia,Other,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Student,0,2002,Yes,No,0,20-30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,New Zealand,Australia,Australia,01-2021,Yes,No,Student,0,2003,Yes,No,0,10-20,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business Management,Australia,Other,Other,01-2021,No,No,Student,0,2001,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,MD,UK,Australia,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Self funding,In-Service,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,USA,USA,01-2021,No,No,Working professional,1-3,1997,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,Australia,Australia,01-2021,No,No,Working professional,<1,1997,Yes,No,0,<10,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Business & Economics,UK,Other,Other,01-2022,No,No,Student,0,2002,Yes,No,0,>30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,MBA,UK,Other,Other,01-2021,No,No,Student,0,1996,No,Yes,<5,20-30,Parents asset,In-Service,Yes,TOEFL,8.1,No,No,0
Postgraduate,No,No,Biotechnology,USA,Australia,Australia,01-2021,No,No,Student,0,2003,No,No,0,Not provided,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Law/legal studies,UK,Other,Other,01-2022,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Marketing,USA,Other,Other,01-2022,No,No,Student,0,2001,No,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Law/legal studies,UK,Other,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,UK,Other,Other,01-2021,Yes,No,Student,0,2001,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,UK,Other,01-2021,No,No,Student,0,2002,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Biotech,UK,Other,Other,01-2021,Yes,Yes,Working professional,4-6,1994,Yes,Yes,<5,20-30,Bank loan,Not provided,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Food Science,USA,USA,USA,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Other,Own business,Yes,TOEFL,80.0,No,No,1
Postgraduate,No,No,Thermal,Australia,Canada,UK,01-2021,No,No,Working professional,1-3,1996,No,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Solar,UK,Other,Other,01-2021,Yes,No,Working professional,7+,1988,Yes,Yes,6,20-30,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Fashion,USA,UK,Other,01-2021,No,No,Student,0,2005,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Logistics,USA,Canada,UK,01-2021,No,No,Working professional,1-3,1997,Yes,Yes,6,20-30,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,Australia,USA,UK,01-2021,No,No,Working professional,1-3,1994,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,Other,Other,01-2021,Yes,No,Student,0,1996,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,English,Canada,UK,Other,01-2021,No,No,Student,0,1997,No,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Finance,UK,Other,Other,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Pharmacy,Australia,Other,Other,01-2021,No,No,Student,0,1999,No,Yes,<5,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Physiotherapy,Australia,Canada,Other,09-2023,No,No,Working professional,7+,1986,Yes,No,0,20-30,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Food,Canada,UK,Canada,01-2021,No,No,Student,0,2000,No,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Business Management,UK,Other,Other,01-2021,No,No,Working professional,1-3,1999,Yes,Yes,<5,Not provided,Parents asset,Not provided,Yes,IELTS,5.5,No,No,0
Postgraduate,No,No,Business & Economics,UK,UK,UK,01-2021,No,No,Working professional,4-6,1994,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business Management,UK,Other,Other,01-2021,No,No,Student,0,1996,No,Yes,<5,20-30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Business & Economics,USA,USA,USA,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Innovation Management,UK,Other,Other,01-2021,Yes,Yes,Working professional,1-3,1998,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Not decided yet,Canada,New Zealand,New Zealand,01-2021,No,No,Working professional,1-3,1996,Yes,Yes,>10,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,Fair Future,0
Undergraduate,No,No,Humanities & Social Sciences,USA,Other,Other,01-2021,Yes,No,Student,0,2003,Yes,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Canada,Canada,Canada,01-2021,No,No,Student,0,1996,Yes,Yes,<5,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,Yes,No,0
Postgraduate,No,No,Not Decided Yet,New Zealand,New Zealand,New Zealand,09-2023,No,No,Working professional,1-3,1997,Yes,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Computer Science and Information Technology,USA,UK,Other,01-2021,Yes,No,Working professional,4-6,1991,Yes,Yes,<5,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Canada,Canada,Canada,01-2021,No,No,Student,0,1993,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,6.5,Yes,No,0
Postgraduate,No,No,Media & Communications,Australia,Canada,Other,01-2021,Yes,No,Student,0,2000,Yes,Yes,<5,Not provided,Parents asset,Own business,Yes,IELTS,6.5,No,No,0
Postgraduate,No,No,Business Management,Canada,Other,Other,01-2023,No,No,Student,0,2001,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Other,Canada,Other,Other,01-2022,Yes,No,Student,0,1999,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Management,Canada,Other,Other,01-2021,No,No,Working professional,4-6,1991,Yes,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Dental Surgery,UK,New Zealand,Australia,01-2021,No,No,Student,0,1997,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Law/legal studies,UK,UK,UK,01-2023,No,No,Student,0,2003,Yes,No,0,20-30,Bank loan,Own business,No,Not Taken,0.0,Yes,Not Provided,0
Undergraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2022,No,No,Student,0,1998,No,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Dialysis,USA,Other,Other,01-2021,No,No,Working professional,1-3,1998,Yes,No,0,10-20,Parents asset,Not provided,Yes,IELTS,6.0,No,No,0
Postgraduate,No,No,Maths,UK,Australia,New Zealand,01-2022,No,No,Student,0,1999,No,No,0,Not provided,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,USA,Canada,Canada,01-2021,No,No,Student,0,1999,No,Yes,6,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Agriculture,USA,Other,Other,01-2021,Yes,Yes,Student,0,1995,Yes,No,0,Not provided,Parents asset,Not provided,Yes,TOEFL,89.0,Yes,No,0
